sample,section,y__toc,geo__facies_num,geo__bioturb,geo__amb,drx__qz,drx__pl,drx__fk,drx__ca,drx__py,drx__clay,drx__clay_i,drx__clay_is,drx__clay_cl,drx__clay_k
PEVP1-15,PA,,12,0,2,6,3,1,1,1,3,32,19,49,0
PEVP1-14,PA,0.09,12,0,2,6,3,1,3,1,3,35,16,49,0
PEVP1-13,PA,,12,0,2,6,3,1,2,1,3,39,11,49,0
PEVP1-11,PA,,12,0,2,6,3,1,3,1,3,30,15,55,0
PEVP1-10,PA,,12,0,2,6,3,1,3,0,3,28,21,51,0
PEVP1-9,PA,0.09,12,0,2,6,4,1,3,0,3,38,14,48,0
PEVP1-8,PA,,12,0,2,6,3,1,2,1,3,28,20,51,0
PEVP1-6,PA,0.09,12,0,2,6,3,1,2,1,3,29,30,41,0
PEVP1-5,PA,,12,0,2,6,4,1,1,1,3,30,19,51,0
PEVP1-3,PA,,12,0,2,6,4,1,1,1,4,36,5,59,0
PEVP1-2,PA,0.09,12,0,2,6,3,1,1,1,3,32,9,58,0
PEVP1-1,PA,,12,0,2,6,3,1,1,1,3,30,24,46,0
PG 65,PG,,10,0,1,,,,,,,,,,
PG 64,PG,,10,0,1,6,2,1,2,0,2,41,24,35,0
PG 63,PG,,11,0,1,,,,,,,,,,
PG 62,PG,,11,0,1,,,,,,,,,,
PG 60,PG,1.48,10,0,1,6,3,1,4,0,3,34,21,45,0
PG 59,PG,,10,0,1,6,2,1,1,0,2,41,31,27,0
PG 55,PG,0.6,12,0,1,6,3,1,2,0,3,39,23,38,0
PG 54,PG,,12,0,1,6,3,1,2,0,3,45,14,41,0
PG 52,PG,,12,0,1,6,2,2,2,0,3,26,34,40,0
PG 51,PG,,12,0,1,6,2,1,3,0,3,22,34,44,0
PG 50,PG,1.81,12,0,1,6,1,1,4,0,3,24,40,36,0
PG 48,PG,,12,0,1,6,1,1,3,0,3,25,24,51,0
PG 45,PG,,12,0,1,6,3,1,1,0,2,34,13,52,0
PG 44,PG,,40,0,1,5,4,1,6,1,4,20,20,60,0
PG 43,PG,,30,0,1,4,5,1,5,0,3,56,0,44,0
PG 42,PG,0.62,12,0,1,6,1,1,2,0,2,22,21,57,0
PG 41,PG,,33,0,1,5,5,1,2,1,4,66,2,32,0
PG 40,PG,,12,0,1,6,3,1,1,1,4,61,11,28,0
PG 39,PG,,33,0,1,4,5,1,3,1,4,85,0,15,0
PG 38,PG,,13,1,1,6,3,1,1,1,4,22,0,78,0
PG 37,PG,,13,1,1,6,4,1,1,0,4,71,0,29,0
PG 36,PG,,13,1,1,6,3,1,2,1,3,37,12,51,0
PG 35,PG,0.58,13,1,1,6,3,1,3,0,3,38,23,39,0
PG 34,PG,,13,1,1,6,2,1,1,0,4,29,6,65,0
